cap_numero,cap_titulo,rol,autores
1,Conceptos básicos de estadística,Autor principal,1
2,Variables y escalas de medición,Autor principal,1
3,Medidas de tendencia central y dispersión,Autor principal,1
4,Representación gráfica,Autor principal,1
5,Fundamentos del muestreo,Autor principal,1
6,Distribuciones de probabilidad,Autor principal,1
7,Distribución normal y sus aplicaciones,Autor principal,1
8,Estimación de parámetros,Autor principal,1
9,Pruebas de hipótesis: fundamentos,Autor principal,1
10,Pruebas para medias,Autor principal,1
13,Correlación,Autor principal,1
14,Regresión lineal simple,Autor principal,1
15,Regresión múltiple,Autor principal,1
16,Diagnóstico y validación de modelos,Autor principal,1
17,Fundamentos del análisis multivariado,Autor principal,1
20,Interpretación de resultados en PLS-SEM,Autor principal,1
21,Introducción a las series de tiempo,Autor principal,1
22,Métodos de suavizamiento,Autor principal,1
23,Modelos ARIMA y Box–Jenkins,Autor principal,1
24,Aplicaciones prácticas de pronósticos,Autor principal,1
